Country,Year,Sex,Age <5,Age 5-14,Age 15-24,Age 25-34,Age 35-44,Age 45-54,Age 55-64,Age >64
Cape Verde,1980,M,19200.0,39200.0,22700.0,12600.0,12600.0,7800.0,8200.0,8200.0
Cape Verde,1980,F,22400.0,45400.0,26300.0,14600.0,14600.0,9100.0,9500.0,9600.0
Egypt,1955,M,693700.0,1218300.0,916300.0,735800.0,669000.0,453200.0,221100.0,144100.0
Egypt,1955,F,696200.0,1214100.0,924200.0,770900.0,620200.0,428700.0,231000.0,164100.0
Egypt,1956,M,735300.0,1292400.0,970900.0,779500.0,709100.0,479900.0,234600.0,152000.0
Egypt,1956,F,738400.0,1287200.0,977900.0,816800.0,657600.0,455300.0,245000.0,173200.0
Egypt,1957,M,741100.0,1301800.0,979900.0,788400.0,716700.0,485400.0,237700.0,152000.0
Egypt,1957,F,744700.0,1298000.0,987700.0,823000.0,662500.0,457900.0,245800.0,172400.0
Egypt,1958,M,754800.0,1326300.0,999700.0,804800.0,730700.0,495200.0,242000.0,153400.0
Egypt,1958,F,757900.0,1322900.0,1007300.0,839200.0,675600.0,466700.0,250400.0,174400.0
Egypt,1959,M,768300.0,1350600.0,1020000.0,820800.0,744700.0,504900.0,246300.0,155000.0
Egypt,1959,F,770900.0,1347500.0,1027200.0,856300.0,688000.0,475100.0,254900.0,176500.0
Egypt,1960,M,938500.0,1610500.0,904600.0,740800.0,670300.0,471600.0,286200.0,185800.0
Egypt,1960,F,898200.0,1490800.0,851000.0,843800.0,663900.0,480300.0,297500.0,215300.0
Egypt,1961,M,1027000.0,1762300.0,989900.0,810600.0,733500.0,516100.0,313100.0,203400.0
Egypt,1961,F,982900.0,1631400.0,931200.0,923400.0,726400.0,525600.0,325500.0,235500.0
Egypt,1962,M,1207000.0,2073000.0,1164000.0,954000.0,863000.0,606000.0,369000.0,239000.0
Egypt,1962,F,1156000.0,1919000.0,1095000.0,1086000.0,854000.0,618000.0,383000.0,277000.0
Egypt,1963,M,1345000.0,2308000.0,1297000.0,1062000.0,961000.0,675000.0,410000.0,266000.0
Egypt,1963,F,1287000.0,2137000.0,1219000.0,1209000.0,951000.0,689000.0,426000.0,309000.0
Egypt,1964,M,2344000.0,4022000.0,2258000.0,1849000.0,1673000.0,1179000.0,715000.0,464000.0
Egypt,1964,F,2221000.0,3687000.0,2105000.0,2086000.0,1641000.0,1187000.0,735000.0,533000.0
Egypt,1965,M,2394000.0,4112000.0,2311000.0,1891000.0,1711000.0,1205000.0,731000.0,474000.0
Egypt,1965,F,2277000.0,3781000.0,2158000.0,2140000.0,1685000.0,1219000.0,754000.0,546000.0
Egypt,1966,M,2456000.0,4217000.0,2369000.0,1939000.0,1756000.0,1235000.0,750000.0,486000.0
Egypt,1966,F,2335000.0,3878000.0,2213000.0,2195000.0,1728000.0,1249000.0,773000.0,560000.0
Egypt,1967,M,2510000.0,4311000.0,2422000.0,1982000.0,1794000.0,1263000.0,766000.0,496000.0
Egypt,1967,F,2402000.0,3990000.0,2277000.0,2259000.0,1777000.0,1286000.0,796000.0,576000.0
Egypt,1970,M,2720000.0,4663000.0,2625000.0,2161000.0,1945000.0,1361000.0,821000.0,524000.0
Egypt,1970,F,2588000.0,4315000.0,2468000.0,2431000.0,1896000.0,1367000.0,843000.0,601000.0
Egypt,1971,M,2779200.0,4767900.0,2684000.0,2210500.0,1989100.0,1391700.0,839200.0,533700.0
Egypt,1971,F,2645400.0,4413900.0,2526000.0,2486600.0,1938000.0,1396600.0,860400.0,613400.0
Egypt,1972,M,2840700.0,4873800.0,2744500.0,2261600.0,2034000.0,1422000.0,857200.0,547300.0
Egypt,1972,F,2704600.0,4515200.0,2583800.0,2542400.0,1979700.0,1426000.0,878400.0,627800.0
Egypt,1973,M,2872200.0,4927300.0,2775500.0,2288200.0,2057200.0,1438100.0,865900.0,551600.0
Egypt,1973,F,2734200.0,4567200.0,2615100.0,2570600.0,2000300.0,1439400.0,886200.0,633000.0
Egypt,1974,M,2970000.0,5096000.0,2870000.0,2365000.0,2127000.0,1489000.0,897000.0,573000.0
Egypt,1974,F,2827000.0,4721000.0,2704000.0,2659000.0,2068000.0,1486000.0,914000.0,651000.0
Egypt,1975,M,3051000.0,5235000.0,2941000.0,2408000.0,2179000.0,1532000.0,930000.0,605000.0
Egypt,1975,F,2836000.0,4709000.0,2687000.0,2665000.0,2096000.0,1517000.0,940000.0,680000.0
Egypt,1976,M,2637000.0,5175000.0,3789000.0,2438000.0,2027000.0,1561000.0,994000.0,661000.0
Egypt,1976,F,2574000.0,4731000.0,3521000.0,2535000.0,2040000.0,1527000.0,931000.0,694000.0
Egypt,1977,M,2602000.0,5110000.0,3742000.0,2408000.0,2003000.0,1541000.0,982000.0,653000.0
Egypt,1977,F,2542000.0,4671000.0,3477000.0,2502000.0,2014000.0,1508000.0,919000.0,685000.0
Egypt,1978,M,2773000.0,5442000.0,3981000.0,2561000.0,2129000.0,1641000.0,1045000.0,698000.0
Egypt,1978,F,2704000.0,4970000.0,3703000.0,2665000.0,2141000.0,1604000.0,978000.0,732000.0
Egypt,1979,M,2848000.0,5593000.0,4099000.0,2639000.0,2192000.0,1687000.0,1075000.0,720000.0
Egypt,1979,F,2791000.0,5130000.0,3824000.0,2752000.0,2212000.0,1656000.0,1010000.0,755000.0
Egypt,1980,M,2941000.0,5772000.0,4232000.0,2724000.0,2263000.0,1742000.0,1109000.0,743000.0
Egypt,1980,F,2878000.0,5293000.0,3946000.0,2837000.0,2281000.0,1709000.0,1041000.0,778000.0
Egypt,1981,M,3014000.0,5919000.0,4338000.0,2792000.0,2320000.0,1786000.0,1137000.0,762000.0
Egypt,1981,F,2966000.0,5453000.0,4067000.0,2924000.0,2352000.0,1761000.0,1073000.0,801000.0
Egypt,1984,M,3775000.0,5642000.0,4466000.0,3519000.0,2154000.0,1677000.0,1217000.0,645000.0
Egypt,1984,F,3622000.0,5274000.0,4074000.0,3226000.0,2260000.0,1732000.0,1263000.0,649000.0
Egypt,1985,M,3499994.864,5779596.782,4582230.118,3062495.506,2371707.046,1657892.304,1174340.382,898024.9979999999
Egypt,1985,F,3366258.417,5236401.982,4114315.843,3212246.594,2354180.723,1716131.742,1188091.206,814062.4929999999
Egypt,1986,M,3753848.0,6201296.0,4915570.0,3303053.0,2546688.0,1794028.8333,1277960.6666,916829.4999
Egypt,1986,F,3608333.0,5717710.0,4395603.0,3439779.0,2506570.0,1842294.0,1204520.0,830155.0
Egypt,1987,M,4093000.0,6118000.0,4843000.0,3817000.0,2336000.0,1819000.0,1319000.0,699000.0
Egypt,1987,F,3929000.0,5719000.0,4418000.0,3498000.0,2451000.0,1878000.0,1370000.0,704000.0
Egypt,1988,M,3836412.36,6335128.305,5022671.445,3356860.815,2599674.165,1817247.96,1287217.3050000002,984342.645
Egypt,1988,F,3696892.029,5750720.934,4518423.591,3527753.178,2585408.151,1884690.054,1304785.422,894019.641
Egypt,1989,M,3938687.688,6504017.169,5156571.381,3446351.727,2668979.157,1865694.168,1321533.369,1010584.341
